City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rawson,-43.3002,-65.1023,63.18,57,73,11.63,AR,1619646620
busselton,-33.65,115.3333,60.01,97,100,3.04,AU,1619646231
berlevag,70.8578,29.0864,26.6,80,75,17.27,NO,1619646621
thunder bay,48.4001,-89.3168,59.0,41,20,10.36,CA,1619646622
port alfred,-33.5906,26.891,66.22,80,97,5.28,ZA,1619646236
labuhan,-6.8844,112.2051,75.7,82,100,6.2,ID,1619646627
fortuna,40.5982,-124.1573,64.0,82,1,18.41,US,1619646095
chuy,-33.6971,-53.4616,57.67,82,4,3.09,UY,1619646274
port moresby,-9.4431,147.1797,77.0,94,75,3.44,PG,1619646630
vila velha,-20.3297,-40.2925,75.2,83,0,8.05,BR,1619646255
hithadhoo,-0.6,73.0833,83.08,72,21,6.4,MV,1619646700
faanui,-16.4833,-151.75,82.18,71,79,12.24,PF,1619646701
bengkulu,-3.8004,102.2655,75.13,90,100,4.09,ID,1619646255
lagunas,-5.2269,-75.6753,79.21,80,72,2.19,PE,1619646704
saint-joseph,-21.3667,55.6167,73.4,83,0,8.05,RE,1619646597
taltal,-25.4,-70.4833,65.44,76,9,5.14,CL,1619646707
richards bay,-28.783,32.0377,67.86,92,12,4.52,ZA,1619645977
dharmadam,11.7833,75.4333,81.28,84,34,3.33,IN,1619646708
changqing,36.5575,116.7272,52.74,48,58,9.08,CN,1619646710
elban,50.1018,136.5094,45.27,84,100,11.72,RU,1619646711
moissala,8.3404,17.7663,77.58,73,100,10.67,TD,1619646711
christchurch,-43.5333,172.6333,55.0,76,7,2.3,NZ,1619646436
yarada,17.65,83.2667,82.4,83,20,2.3,IN,1619646420
roald,62.5833,6.1333,39.2,75,20,18.41,NO,1619646150
salalah,17.0151,54.0924,84.2,79,40,5.75,OM,1619646342
santander,43.4647,-3.8044,51.01,93,75,6.91,ES,1619646716
santiago,-33.4569,-70.6483,77.0,35,0,4.61,CL,1619646688
hamilton,39.1834,-84.5333,71.6,73,90,17.27,US,1619646718
cortez,37.3489,-108.5859,62.6,25,90,13.8,US,1619646719
yatou,37.15,122.3833,50.27,94,27,6.4,CN,1619646720
coihaique,-45.5752,-72.0662,51.8,71,75,3.44,CL,1619646288
kyaukse,21.6,96.1333,80.06,68,1,3.36,MM,1619646724
nioki,-2.7167,17.6833,72.23,96,100,2.95,CD,1619646726
padang,-0.9492,100.3543,77.0,100,75,2.3,ID,1619646727
govardhan,27.5,77.4667,86.41,11,1,0.74,IN,1619646728
tiksi,71.6872,128.8694,22.01,91,57,7.81,RU,1619646266
zabaykalsk,49.6333,117.3167,26.85,77,89,17.36,RU,1619646735
lashio,22.9333,97.75,63.72,88,3,1.39,MM,1619646736
rousinov,49.2013,16.8822,48.2,53,0,8.05,CZ,1619646736
bondo,3.8146,23.6866,69.55,99,100,1.66,CD,1619646737
lugovoy,42.9472,72.7644,63.01,36,0,6.2,KZ,1619646738
upernavik,72.7868,-56.1549,27.91,88,56,4.41,GL,1619646244
olinda,-8.0089,-34.8553,80.6,69,40,6.91,BR,1619646404
tasiilaq,65.6145,-37.6368,32.0,93,90,2.3,GL,1619646265
kichera,55.9375,110.0997,21.16,68,2,4.36,RU,1619646739
provideniya,64.3833,-173.3,33.8,64,0,6.71,RU,1619646234
kachiry,53.0675,76.1036,49.96,84,31,10.31,KZ,1619646741
hatillo,18.4863,-66.8254,78.01,83,40,14.97,PR,1619646742
coquimbo,-29.9533,-71.3436,60.8,77,0,11.5,CL,1619646112
namwala,-15.7504,26.4384,67.91,67,70,4.0,ZM,1619646743
kuytun,54.3419,101.5036,33.24,57,100,9.91,RU,1619646744
faya,18.3851,42.4509,60.8,82,20,0.58,SA,1619646276
katsuura,35.1333,140.3,62.6,88,75,12.66,JP,1619646261
nyurba,63.2842,118.3319,22.82,82,29,0.43,RU,1619646745
buenaventura,3.8801,-77.0312,66.0,73,100,1.5,CO,1619646746
malanje,-9.5402,16.341,66.18,86,76,0.67,AO,1619646747
kisii,-0.6817,34.7667,59.02,93,65,5.03,KE,1619646748
yeppoon,-23.1333,150.7333,68.0,73,40,6.91,AU,1619646749
chiriqui grande,8.95,-82.1167,84.0,56,100,1.99,PA,1619646749
cayenne,4.9333,-52.3333,78.01,94,75,8.05,GF,1619646750
pyinmana,19.7333,96.2167,75.61,84,0,2.84,MM,1619646750
morondava,-20.2833,44.2833,78.69,75,0,7.87,MG,1619646412
xiongzhou,25.1167,114.3,61.21,95,91,0.92,CN,1619646751
port blair,11.6667,92.75,81.77,73,99,3.24,IN,1619646337
levelland,33.5873,-102.378,73.4,33,40,24.16,US,1619646752
marsa matruh,31.3525,27.2453,66.2,82,0,6.91,EG,1619646753
san juan,-31.5375,-68.5364,74.5,29,0,7.87,AR,1619646604
kabanjahe,3.1001,98.4908,77.0,94,40,2.01,ID,1619646754
kyren,51.6828,102.1408,35.29,87,100,2.15,RU,1619646755
alice springs,-23.7,133.8833,42.8,70,0,5.75,AU,1619646191
manono,-7.3,27.4167,71.67,85,61,3.6,CD,1619646757
mehamn,71.0357,27.8492,26.6,80,75,4.61,NO,1619646327
margate,51.3813,1.3862,46.99,73,100,8.99,GB,1619646286
mount isa,-20.7333,139.5,64.4,48,0,8.05,AU,1619646045
linhares,-19.3911,-40.0722,71.53,91,41,5.17,BR,1619646761
tessalit,20.1986,1.0114,96.06,7,96,7.2,ML,1619646761
ambilobe,-13.2,49.05,72.97,95,7,3.22,MG,1619646600
victoria,22.2855,114.1577,73.0,79,100,7.74,HK,1619645990
talnakh,69.4865,88.3972,29.7,95,100,7.18,RU,1619646292
vostok,46.4856,135.8833,40.01,72,7,5.61,RU,1619646656
hasaki,35.7333,140.8333,59.0,100,75,5.75,JP,1619646560
kavieng,-2.5744,150.7967,82.83,73,93,4.29,PG,1619646277
sterling,39.0062,-77.4286,87.8,35,75,9.22,US,1619646317
sioux lookout,50.1001,-91.917,62.6,27,75,6.91,CA,1619646418
tutoia,-2.7619,-42.2744,79.21,82,74,7.02,BR,1619646767
riberalta,-10.9833,-66.1,82.4,69,75,11.5,BO,1619646768
lac du bonnet,50.2536,-96.0612,39.0,99,100,11.01,CA,1619646768
whitecourt,54.1502,-115.6855,48.2,53,75,10.36,CA,1619646769
vanimo,-2.6741,141.3028,79.02,81,100,3.49,PG,1619646302
socorro,31.6546,-106.3033,66.2,25,40,8.05,US,1619646770
fort nelson,58.8053,-122.7002,32.0,47,20,2.3,CA,1619646227
severo-kurilsk,50.6789,156.125,35.71,87,98,4.14,RU,1619646252
amapa,1.0,-52.0,73.54,92,100,2.28,BR,1619646771
narsaq,60.9167,-46.05,44.6,61,56,16.11,GL,1619646288
cidreira,-30.1811,-50.2056,65.32,80,77,9.66,BR,1619646268
san cristobal,7.7669,-72.225,80.6,74,75,2.3,VE,1619646772
lorengau,-2.0226,147.2712,82.63,75,22,4.45,PG,1619646334
paita,-5.0892,-81.1144,77.0,65,0,16.11,PE,1619646279
kahului,20.8947,-156.47,80.6,69,40,9.22,US,1619646282
shellbrook,53.2168,-106.4011,39.2,38,75,3.44,CA,1619646026
veraval,20.9,70.3667,80.4,77,98,10.4,IN,1619646774
abu samrah,35.3029,37.1841,66.27,47,0,6.87,SY,1619646775
ouadda,8.0777,22.4007,72.18,79,98,5.1,CF,1619646775
chizhou,30.6578,117.4831,58.3,74,36,7.02,CN,1619646776
mar del plata,-38.0023,-57.5575,69.8,64,0,11.5,AR,1619646049
daru,-9.0763,143.2092,77.52,87,100,8.28,PG,1619646777
okhotsk,59.3833,143.3,30.76,86,100,7.78,RU,1619646290
wanning,18.8003,110.3967,74.77,90,45,5.39,CN,1619646779
bilibino,68.0546,166.4372,20.75,71,100,3.09,RU,1619646454
port hardy,50.6996,-127.4199,50.0,93,90,9.22,CA,1619646780
kamenka,51.3223,42.7678,39.0,62,4,5.41,RU,1619646307
ponta do sol,32.6667,-17.1,60.01,87,70,5.01,PT,1619646781
norman wells,65.282,-126.8329,32.0,59,20,12.66,CA,1619646243
asau,46.4333,26.4,42.01,64,100,1.86,RO,1619646311
chapais,49.7834,-74.8492,59.0,31,1,6.91,CA,1619646782
shirokiy,49.758,129.523,41.92,49,91,7.9,RU,1619646783
eureka,40.8021,-124.1637,66.0,73,21,8.01,US,1619646776
sur,22.5667,59.5289,86.83,38,98,5.44,OM,1619646461
brandon,27.9378,-82.2859,89.01,37,40,4.74,US,1619646763
solnechnyy,50.7214,136.6319,40.48,94,100,2.57,RU,1619646462
bjornevatn,69.6672,29.9847,23.0,86,40,9.22,NO,1619646786
ous,60.9058,61.5186,36.79,91,100,5.41,RU,1619646787
necochea,-38.5473,-58.7368,62.01,89,85,4.21,AR,1619646271
villa carlos paz,-31.4241,-64.4978,73.4,49,0,12.66,AR,1619646787
douglas,41.3,-96.167,68.0,63,40,5.75,US,1619646615
jangipur,24.4667,88.0667,81.19,66,1,8.97,IN,1619646788
rundu,-17.9333,19.7667,65.52,60,26,4.97,NA,1619646440
high level,58.5169,-117.136,35.6,35,20,9.22,CA,1619646335
emba,48.8264,58.1442,49.1,60,98,5.59,KZ,1619646321
mandalgovi,45.7625,106.2708,28.8,54,39,6.11,MN,1619646791
pandan,14.0453,124.1694,74.16,85,85,0.69,PH,1619646303
ginir,7.1333,40.7,57.94,87,45,4.68,ET,1619646792
leningradskiy,69.3833,178.4167,21.31,77,23,3.44,RU,1619646282
yatsuo,36.5667,137.1333,57.99,94,75,5.75,JP,1619646793
adrar,20.5022,-10.0711,87.8,19,32,5.35,MR,1619646793
nicoya,10.1483,-85.452,87.8,58,75,11.5,CR,1619646794
tumsar,21.3833,79.7333,84.99,17,1,2.01,IN,1619646794
salinas,36.6777,-121.6555,73.4,40,1,16.11,US,1619646683
ozernovskiy,51.5,156.5167,35.6,91,99,6.15,RU,1619646795
santa rosa,14.3122,121.1114,79.0,78,20,3.44,PH,1619646420
yar-sale,66.8333,70.8333,6.19,98,51,4.36,RU,1619646796
qaqortoq,60.7167,-46.0333,44.6,61,66,16.11,GL,1619646797
comodoro rivadavia,-45.8667,-67.5,64.4,39,0,8.05,AR,1619646537
bolotnoye,55.6717,84.3981,38.41,94,47,5.61,RU,1619646798
namatanai,-3.6667,152.4333,82.0,75,78,5.14,PG,1619646798
ayagoz,47.9714,80.4392,56.37,42,12,3.02,KZ,1619646799
horki,54.2861,30.9842,36.19,86,63,4.14,BY,1619646800
mahon,39.8885,4.2658,60.8,94,20,4.61,ES,1619646800
nikolayevsk-na-amure,53.1406,140.73,31.98,83,100,6.38,RU,1619646801
te anau,-45.4167,167.7167,51.33,93,100,4.99,NZ,1619646282
yagodnoye,62.55,149.6667,27.28,80,37,2.28,RU,1619646802
cocorit,27.5833,-109.9667,80.6,12,1,11.5,MX,1619646803
usinsk,65.9939,57.5281,28.18,88,99,9.55,RU,1619646803
olga,43.7444,135.2892,46.04,64,1,4.0,RU,1619646804
jining,35.405,116.5814,57.09,56,37,12.88,CN,1619646805
santa isabel,-23.3156,-46.2214,66.2,77,20,5.75,BR,1619646806
soyo,-6.1349,12.3689,79.54,88,68,7.2,AO,1619646273
quatre cocos,-20.2078,57.7625,75.99,94,75,11.5,MU,1619646415
raudeberg,61.9875,5.1352,41.0,80,8,19.22,NO,1619646806
saint george,37.1041,-113.5841,78.01,23,1,6.91,US,1619646034
coldwater,41.9403,-85.0005,71.6,77,90,6.91,US,1619646795
mikuni,36.2171,136.1519,57.2,100,75,8.05,JP,1619646809
thinadhoo,0.5333,72.9333,83.03,68,98,6.73,MV,1619646299
tilichiki,60.4667,166.1,29.35,89,100,5.95,RU,1619646810
lebu,-37.6167,-73.65,57.74,87,84,5.68,CL,1619646228
sola,-13.8833,167.55,75.2,100,90,23.44,VU,1619646317
hofn,64.2539,-15.2082,38.17,64,68,12.1,IS,1619646257
brae,60.3964,-1.353,37.4,87,75,8.05,GB,1619646409
bandarbeyla,9.4942,50.8122,83.25,78,23,4.79,SO,1619646813
timizart,36.8,4.2667,54.72,94,10,0.78,DZ,1619646813
robertsport,6.7533,-11.3686,81.45,82,84,8.79,LR,1619646814
harper,4.375,-7.7169,80.44,82,51,8.28,LR,1619646815
kavaratti,10.5669,72.642,83.79,71,0,4.21,IN,1619646792
namibe,-15.1961,12.1522,75.15,69,15,9.64,AO,1619646816
hendaye,43.3717,-1.7738,55.4,76,90,2.3,FR,1619646817
beroroha,-21.6667,45.1667,73.13,72,9,3.56,MG,1619646818
baghdad,33.3406,44.4009,71.6,37,0,3.44,IQ,1619646567
moose factory,51.2585,-80.6094,51.8,25,1,8.05,CA,1619646824
sakakah,29.9697,40.2064,75.2,13,0,5.75,SA,1619646427
izhma,65.0083,53.9113,30.92,96,99,4.88,RU,1619646825
isangel,-19.55,169.2667,75.2,69,20,5.75,VU,1619646309
kalangala,-0.3089,32.225,71.6,94,75,13.2,UG,1619646831
devils lake,48.1128,-98.8651,62.6,34,20,17.27,US,1619646635
madera,37.1666,-119.8343,80.01,26,0,1.99,US,1619646832
ulsteinvik,62.3432,5.8487,39.2,75,20,18.41,NO,1619646411
benjamin constant,-4.3831,-70.0311,82.4,78,40,6.91,BR,1619646834
zheleznogorsk,52.331,35.3711,40.19,66,99,3.74,RU,1619646834
ribeira grande,38.5167,-28.7,59.34,75,41,16.78,PT,1619646277
paka,4.6374,103.4368,77.0,94,100,2.3,MY,1619646837
srednekolymsk,67.45,153.6833,28.11,92,90,6.17,RU,1619646652
bathsheba,13.2167,-59.5167,78.8,69,75,17.27,BB,1619646287
saldanha,-33.0117,17.9442,55.4,82,41,5.75,ZA,1619646273
gryazi,52.4966,39.9359,41.92,76,85,6.91,RU,1619646839
tiznit,29.5833,-9.5,57.52,78,84,5.14,MA,1619646839
skjervoy,70.0311,20.9714,29.98,80,100,10.13,NO,1619646841
kawalu,-7.3817,108.2082,72.68,91,100,0.78,ID,1619646460
odienne,9.51,-7.5692,79.29,64,100,2.98,CI,1619646842
eyl,7.9803,49.8164,83.39,74,20,7.27,SO,1619646843
nemuro,43.3236,145.575,42.66,83,100,6.89,JP,1619646625
alofi,-19.0595,-169.9187,77.0,22,90,5.75,NU,1619646799
itarema,-2.9248,-39.9167,78.91,85,87,12.46,BR,1619646844
souillac,-20.5167,57.5167,75.2,94,75,11.5,MU,1619646291
cap-aux-meules,47.3821,-61.8597,39.2,87,98,4.61,CA,1619646846
panjab,34.388,67.0233,50.18,56,4,2.95,AF,1619646848
sibu,2.3,111.8167,75.2,100,40,1.61,MY,1619646848
kroya,-7.6331,109.2461,78.62,75,100,5.37,ID,1619646850
najran,17.4924,44.1277,73.4,56,0,5.75,SA,1619646850
timra,62.487,17.3257,30.2,100,75,4.61,SE,1619646851
hearst,49.6835,-83.6665,60.8,27,90,4.61,CA,1619646852
beloha,-25.1667,45.05,70.59,90,0,4.56,MG,1619646289
chaiyaphum,15.75,102.0,73.99,99,100,2.84,TH,1619646853
irece,-11.3042,-41.8558,74.71,59,32,11.03,BR,1619646854
kharan,28.5833,65.4167,80.26,24,86,6.2,PK,1619646856
bismil,37.8486,40.6658,60.8,72,0,9.22,TR,1619646857
magrath,49.4167,-112.8686,64.4,24,99,25.32,CA,1619646857
dossor,47.5272,52.9811,51.69,57,74,15.17,KZ,1619646858
yining,29.0361,114.5636,56.71,93,75,2.89,CN,1619646859
karlshamn,56.1706,14.8619,37.0,100,19,3.44,SE,1619646859
deputatskiy,69.3,139.9,15.1,88,41,4.38,RU,1619646860
vite,17.2833,74.55,81.7,44,25,3.29,IN,1619646860
kesova gora,57.5836,37.2922,30.83,92,33,6.76,RU,1619646861
sebrovo,50.0981,43.2976,39.99,81,5,3.33,RU,1619646861
canico,32.6333,-16.85,62.6,72,40,9.22,PT,1619646862
makat,47.6469,53.3463,52.0,57,80,9.4,KZ,1619646863
oktyabrskoye,43.0645,44.7417,53.6,87,100,6.71,RU,1619646863
savinka,50.0785,47.0994,39.16,85,39,7.54,RU,1619646864
miraflores,19.2167,-98.8083,84.2,20,75,5.75,MX,1619646865
karratha,-20.7377,116.8463,77.04,30,0,9.48,AU,1619646866
piopio,-38.4667,175.0167,59.0,98,1,1.01,NZ,1619646870
kankon,15.0167,74.0167,80.37,82,64,4.34,IN,1619646871
joacaba,-27.1781,-51.5047,54.39,52,0,1.59,BR,1619646872
koumac,-20.5667,164.2833,73.87,55,0,7.11,NC,1619646872
meulaboh,4.1363,96.1285,77.22,88,97,3.74,ID,1619646409
zuwarah,32.9312,12.082,66.99,76,83,16.42,LY,1619646874
ciudad bolivar,8.1222,-63.5497,89.44,45,83,6.42,VE,1619646875
rio de jesus,7.9844,-81.1631,83.21,64,74,5.84,PA,1619646877
mvuma,-19.2792,30.5283,64.98,55,63,9.24,ZW,1619646878
sisimiut,66.9395,-53.6735,39.49,68,96,2.37,GL,1619646878
nome,64.5011,-165.4064,32.0,64,20,18.41,US,1619646879
resistencia,-27.4606,-58.9839,69.8,52,0,5.75,AR,1619646880
aswan,24.0934,32.907,83.68,24,0,11.92,EG,1619646880
yerbogachen,61.2767,108.0108,22.1,86,11,3.44,RU,1619646881
bull savanna,17.8868,-77.5902,77.79,70,78,7.0,JM,1619646881
rawlins,41.7911,-107.2387,57.99,33,20,4.61,US,1619646703
port elizabeth,-33.918,25.5701,62.6,94,75,18.41,ZA,1619646882
bani,18.2833,-70.3333,80.6,78,40,11.5,DO,1619646322
aberdeen,57.1437,-2.0981,37.99,87,95,4.61,GB,1619646233
tazovskiy,67.4667,78.7,29.12,98,100,6.42,RU,1619646312
warrington,53.3925,-2.5802,48.2,57,54,9.22,GB,1619646655
kralendijk,12.15,-68.2667,73.4,100,75,6.91,BQ,1619646884
vestmannaeyjar,63.4427,-20.2734,43.74,79,28,17.34,IS,1619646426
vila franca do campo,37.7167,-25.4333,57.2,72,40,10.36,PT,1619646886
gabu,12.2833,-14.2167,81.91,42,94,10.54,GW,1619646886
omboue,-1.5746,9.2618,77.23,90,94,2.98,GA,1619646317
torbay,47.6666,-52.7314,43.0,75,75,16.11,CA,1619646771
batemans bay,-35.7167,150.1833,55.0,96,67,1.01,AU,1619646400
